Name,Year,Tutor,Class,Username,Password,Stamps
Aleesha Hendrix,11,Tesla,Ohm,19hendrix.a,password123,0
Alexa Castro,11,Tesla,Ohm,19castro.a,password124,0
Alexandra Roman,11,Tesla,Ohm,19roman.a,password125,0
Aliya Foley,11,Tesla,Ohm,19foley.a,password126,0
Anaya Connor,11,Tesla,Ohm,19connor.a,password127,0
Anish Herman,11,Tesla,Ohm,19herman.a,password128,0
Brooklyn Drake,11,Tesla,Ohm,19drake.b,password129,0
Chaya Matthams,11,Tesla,Ohm,19matthams.c,password130,0
Dale Nichols,11,Tesla,Ohm,19nichols.d,password131,0
Daniyal Mcclure,11,Tesla,Ohm,19mcclure.d,password132,0
Dawid Manning,11,Tesla,Ohm,19manning.d,password133,0
Dennis Nguyen,11,Tesla,Ohm,19nguyen.d,password134,0
Dexter Rogers,11,Tesla,Ohm,19rogers.d,password135,0
Frederec Miles,11,Tesla,Ohm,19miles.f,password136,0
Gina Harding,11,Tesla,Ohm,19harding.g,password137,0
Hallie Ward,11,Tesla,Ohm,19ward.h,password138,0
Hari Lynn,11,Tesla,Ohm,19lynn.h,password139,0
James Santos,11,Tesla,Ohm,19santos.j,password140,0
Jana Bradley,11,Tesla,Ohm,19bradley.j,password141,0
Jensen Macdonald,11,Tesla,Ohm,19macdonald.j,password142,0
Jude Kirby,11,Tesla,Ohm,19kirby.j,password143,0
Matilda Burgess,11,Tesla,Ohm,19burgess.m,password144,0
Mike Oxlong,11,Tesla,Ohm,19oxlong.m,password145,0
Nicolas Hahn,11,Tesla,Ohm,19hahn.n,password146,0
Penelope Grant,11,Tesla,Ohm,19grant.p,password147,0
Steve Bates,11,Tesla,Ohm,19bates.s,password148,0
Valentina Ferrell,11,Tesla,Ohm,19ferrell.v,password149,0
Willard Mayo,11,Tesla,Ohm,19mayo.w,password150,0
William Wagner,11,Tesla,Ohm,19wagner.w,password151,0
Zeeshan Crane,11,Tesla,Ohm,19crane.z,password152,0
